,Date,Title,Link,Ticker,neg,neu,pos,compound
0,2021-04-09 03:38:00,"Introducing Genasys (NASDAQ:GNSS), The Stock That Zoomed 297% In The Last Five Years",https://finance.yahoo.com/news/introducing-genasys-nasdaq-gnss-stock-073815416.html,GNSS,0.0,1.0,0.0,0.0
1,2021-03-23 08:30:00,Genasys Inc. Receives Multi-Year Enterprise Software Services Contract from Global Automaker,https://finance.yahoo.com/news/genasys-inc-receives-multi-enterprise-123000692.html,GNSS,0.0,1.0,0.0,0.0
2,2021-03-11 08:30:00,Genasys Inc. Announces Government of Canada COVID and Vaccination Tracking Software Project,https://finance.yahoo.com/news/genasys-inc-announces-government-canada-133000166.html,GNSS,0.0,1.0,0.0,0.0
3,2021-03-09 23:35:00,It Looks Like Shareholders Would Probably Approve Genasys Inc.'s (NASDAQ:GNSS) CEO Compensation Package,https://finance.yahoo.com/news/looks-shareholders-probably-approve-genasys-043507280.html,GNSS,0.0,0.828,0.172,0.3612
4,2021-03-02 08:30:00,Genasys Inc. to Participate in Stephens Best Ideas Conference,https://finance.yahoo.com/news/genasys-inc-participate-stephens-best-133000550.html,GNSS,0.0,0.656,0.344,0.6369
5,2021-03-02 03:10:00,Is Genasys Inc.'s (NASDAQ:GNSS) Latest Stock Performance Being Led By Its Strong Fundamentals?,https://finance.yahoo.com/news/genasys-inc-nasdaq-gnss-latest-081053779.html,GNSS,0.0,0.784,0.216,0.5106
6,2021-02-17 08:30:00,Genasys Inc. Awarded Software Services Contract from Spain Ministry of the Interior,https://finance.yahoo.com/news/genasys-inc-awarded-software-services-133000931.html,GNSS,0.0,0.803,0.197,0.4019
7,2021-02-09 16:10:00,Genasys Inc. Reports Fiscal First Quarter 2021 Financial Results,https://finance.yahoo.com/news/genasys-inc-reports-fiscal-first-211000293.html,GNSS,0.0,1.0,0.0,0.0
8,2021-02-09 14:30:00,"Genasys, Inc. to Host Earnings Call",https://finance.yahoo.com/news/genasys-inc-host-earnings-call-193000337.html,GNSS,0.0,1.0,0.0,0.0
9,2021-02-03 23:56:00,Genasys Inc. (NASDAQ:GNSS) Stock Rockets 26% As Investors Are Less Pessimistic Than Expected,https://finance.yahoo.com/news/genasys-inc-nasdaq-gnss-stock-045631915.html,GNSS,0.155,0.845,0.0,-0.2975
10,2021-02-02 08:30:00,"Genasys Inc. Schedules Fiscal First Quarter 2021 Financial Results Conference Call for February 9, 2021, 4:30 p.m. ET",https://finance.yahoo.com/news/genasys-inc-schedules-fiscal-first-133000161.html,GNSS,0.0,1.0,0.0,0.0
11,2021-02-01 12:30:00,Analysts Estimate Genasys (GNSS) to Report a Decline in Earnings: What to Look Out for,https://finance.yahoo.com/news/analysts-estimate-genasys-gnss-report-173005919.html,GNSS,0.0,1.0,0.0,0.0
12,2021-01-13 08:30:00,Genasys Inc. Opens International Offices in Singapore and Dubai as Part of Regional Expansion,https://finance.yahoo.com/news/genasys-inc-opens-international-offices-133000448.html,GNSS,0.0,1.0,0.0,0.0
13,2021-01-12 02:10:00,Will The ROCE Trend At Genasys (NASDAQ:GNSS) Continue?,https://finance.yahoo.com/news/roce-trend-genasys-nasdaq-gnss-071056080.html,GNSS,0.0,1.0,0.0,0.0
14,2020-12-23 08:30:00,Genasys Inc. Receives $5.1 Million Follow-On Order from U.S. Army,https://finance.yahoo.com/news/genasys-inc-receives-5-1-133000861.html,GNSS,0.0,1.0,0.0,0.0
15,2020-12-21 08:30:00,Genasys Inc. Recognized in Gartner 2020 Market Guide for Emergency/Mass Notification Services Solutions,https://finance.yahoo.com/news/genasys-inc-recognized-gartner-2020-133000554.html,GNSS,0.0,0.876,0.124,0.1779
16,2020-12-15 08:30:00,Genasys Inc. Awarded U.S. Navy SBIR Program Research & Development Contract,https://finance.yahoo.com/news/genasys-inc-awarded-u-navy-133000017.html,GNSS,0.0,0.769,0.231,0.4019
17,2020-12-09 16:05:00,Genasys Inc. Reports Record Fiscal Year 2020 Financial Results,https://finance.yahoo.com/news/genasys-inc-reports-record-fiscal-210500411.html,GNSS,0.0,1.0,0.0,0.0
18,2020-12-09 14:30:00,"Genasys, Inc. to Host Earnings Call",https://finance.yahoo.com/news/genasys-inc-host-earnings-call-193000352.html,GNSS,0.0,1.0,0.0,0.0
19,2020-12-01 14:42:00,Is Genasys Inc. (GNSS) A Good Stock To Buy Now?,https://finance.yahoo.com/news/genasys-inc-gnss-good-stock-194212951.html,GNSS,0.0,0.734,0.266,0.4404
20,2020-11-30 08:30:00,"Genasys Inc. to Present at Northland Capital Markets IoT, AI and Safety Conference 2020",https://finance.yahoo.com/news/genasys-inc-present-northland-capital-133000705.html,GNSS,0.0,0.823,0.177,0.4215
21,2020-11-25 00:34:00,Could The Genasys Inc. (NASDAQ:GNSS) Ownership Structure Tell Us Something Useful?,https://finance.yahoo.com/news/could-genasys-inc-nasdaq-gnss-053459849.html,GNSS,0.0,0.775,0.225,0.4404
22,2020-11-24 08:30:00,"Genasys Inc. Schedules Fiscal Year 2020 Financial Results Conference Call for December 9, 2020, 4:30 p.m. ET",https://finance.yahoo.com/news/genasys-inc-schedules-fiscal-2020-133000773.html,GNSS,0.0,1.0,0.0,0.0
23,2020-11-19 08:30:00,Genasys Inc. Announces $2.6 Million in U.S. Defense Orders,https://finance.yahoo.com/news/genasys-inc-announces-2-6-133000608.html,GNSS,0.0,0.842,0.158,0.128
24,2020-11-09 08:30:00,Genasys Inc. to Present at Stephens Annual Investment Conference,https://finance.yahoo.com/news/genasys-inc-present-stephens-annual-133000126.html,GNSS,0.0,1.0,0.0,0.0
25,2020-11-05 08:30:00,"Genasys Inc. Receives $1.6 Million in International  Law Enforcement, Homeland Security and Mass Notification Orders",https://finance.yahoo.com/news/genasys-inc-receives-1-6-133000128.html,GNSS,0.0,0.854,0.146,0.34
26,2020-10-26 11:57:00,Why Genasys (GNSS) Stock is a Compelling Investment Case,https://finance.yahoo.com/news/why-genasys-gnss-stock-compelling-155717905.html,GNSS,0.0,0.787,0.213,0.2263
27,2020-10-13 08:30:00,Genasys Inc. Announces Record Fiscal Year Domestic Law Enforcement Sales,https://finance.yahoo.com/news/genasys-inc-announces-record-fiscal-123000577.html,GNSS,0.0,1.0,0.0,0.0
28,2020-10-05 08:30:00,"Genasys Inc. Closes Acquisition of  Enterprise Software Provider, Amika Mobile",https://finance.yahoo.com/news/genasys-inc-closes-acquisition-enterprise-123000414.html,GNSS,0.0,1.0,0.0,0.0
29,2020-09-29 08:30:00,Genasys Inc. Receives Second Multi-Year Contract  to Power Delivery of Emergency Alerts in Australia,https://finance.yahoo.com/news/genasys-inc-receives-second-multi-123000020.html,GNSS,0.167,0.833,0.0,-0.3818
